Sale,Discount,Product,Color,Discounted Price,Original Price,Size
SALE,52% off,Margaret Dress,Blue,$25.87 ,$54.19 ,"XS, S, M, L"
SALE,55% off,Selene Knit Top,White,$12.25 ,$26.96 ,"S, L"
SALE,48% off,Tessa Set,Orange,$32.40 ,$62.36 ,"XS, S, M, L"
Flow Earrings,$18.79 ,,,,,
Jianna Necklace,$20.42 ,,,,,
Luna Necklace,$26.96 ,,,,,
Maya Triple Chain Necklace,$24.23 ,,,,,
Cherry Necklace,$32.40 ,,,,,
Breeze Earrings | Black,$17.70 ,,,,,
Breeze Earrings | Off White,$17.70 ,,,,,
Maya Earrings | Rose,$14.98 ,,,,,
Infinity Bracelet,$32.40 ,,,,,
SALE,13% off,Jay Earrings,Forest Green,$36.76 ,$42.21 ,
Luciana Necklace,$26.96 ,,,,,
Blossom Earrings,$13.34 ,,,,,
SALE,23% off,Denis Necklace,,$32.40 ,$42.21 ,
Alexandra Earrings | Orange,$34.04 ,,,,,
Bohemian Shell Hat,$31.31 ,,,,,
Half Moon Beach Straw Bag / Clutch,$32.40 ,,,,,
High Waisted Knickers | Seamless Underwear,$14.98 ,S,,L,,
SALE,66% off,Delusion Set,Blush,$26.96 ,$80.33 ,"S, M, L"
SALE,50% off,Beatrix Set,Maroon,from $40.57,$81.42 ,"S, M, L"
SALE,75% off,Cara Set,White,$13.34 ,$54.19 ,"S, M, L"
SALE,62% off,Ruby Bikini Set,White,$20.42 ,$54.19 ,"S, M, L"
SALE,49% off,Millie Set,Cayan,$40.57 ,$78.97 ,"S, M, L"
SALE,47% off,Winifred Set,Black,$39.48 ,$74.88 ,"S, M, L"
SALE,57% off,Evie Set,White,$35.13 ,$81.42 ,"S, M, L"
SALE,32% off,Gina Set,,$46.29 ,$68.07 ,"S, M, L"
Gold Plated Saffron Necklace,$36.76 ,,,,,
Gold Plated Butterfly Necklace,$35.40 ,,,,,
Gold Plated Roisin Necklace / Choker,$39.48 ,,,,,
Gold Plated Pixie Necklace,$42.21 ,,,,,
SALE,24% off,Gold Plated Cerys Earrings,,$20.42 ,$26.96 ,
Gold Plated Catriona Earring,$26.96 ,,,,,
Ray Belt | Gold,$14.98 ,,,,,
Ray Belt | Silver,$14.98 ,,,,,
Savannah Belt,$35.13 ,,,,,
SALE,15% off,Novah Necklace,,$31.31 ,$36.76 ,
Shell Glasses Chain,$14.98 ,,,,,
Wind Bangle,$24.23 ,,,,,
Grace Chain Bracelet,$13.34 ,,,,,
Flat Anklet,$13.34 ,,,,,
SALE,48% off,Ruby Bikini Set,Light Pink,$20.42 ,$39.48 ,"S, M, L"
Flamingo Bikini Set,$16.07 ,S,,M,L,
SALE,47% off,Winifred Set,Lilac,$39.48 ,$74.88 ,"S, M, L"
SALE,42% off,Sally Set,,$40.57 ,$69.43 ,"S, M, L"
SALE,20% off,Gulnar Set - Purple,,$54.19 ,$68.07 ,"S, M, L"
