sale,discount,product,color,discounted_price,original_price,size
NA,NA,Maya Triple Chain Necklace,NA,NA,$24.23 ,NA
NA,NA,Cherry Necklace,NA,NA,$32.40 ,NA
NA,NA,Breeze Earrings | Black,Black,NA,$17.70 ,NA
NA,NA,Breeze Earrings | Off White,Off,NA,$17.70 ,NA
NA,NA,Maya Earrings | Rose,Rose,NA,$14.98 ,NA
NA,NA,Infinity Bracelet,NA,NA,$32.40 ,NA
NA,NA,Luciana Necklace,NA,NA,$26.96 ,NA
NA,NA,Blossom Earrings,NA,NA,$13.34 ,NA
NA,NA,Alexandra Earrings | Orange,Orange,NA,$34.04 ,NA
NA,NA,Bohemian Shell Hat,NA,NA,$31.31 ,NA
NA,NA,Half Moon Beach Straw Bag / Clutch,NA,NA,$32.40 ,NA
NA,NA,High Waisted Knickers | Seamless Underwear,Seamless,NA,$14.98 ,",L"
NA,NA,Gold Plated Saffron Necklace,NA,NA,$36.76 ,NA
NA,NA,Gold Plated Butterfly Necklace,NA,NA,$35.40 ,NA
NA,NA,Gold Plated Roisin Necklace / Choker,NA,NA,$39.48 ,NA
NA,NA,Gold Plated Pixie Necklace,NA,NA,$42.21 ,NA
NA,NA,Gold Plated Catriona Earring,NA,NA,$26.96 ,NA
NA,NA,Ray Belt | Gold,Gold,NA,$14.98 ,NA
NA,NA,Ray Belt | Silver,Silver,NA,$14.98 ,NA
NA,NA,Savannah Belt,NA,NA,$35.13 ,NA
NA,NA,NA,NA,NA,NA,NA
